Be-Born,Q14819852,"{""Person"": ""P710"", ""Time"":""P585"",""Place"":""P276""}"
MARRY,Q8445,"{""Person"": ""P710"", ""Time"":""P585"",""Place"":""P276""}"
DIVORCE,Q93190,"{""Person"": ""P710"", ""Time"":""P585"",""Place"":""P276""}"
INJURE,Q171558,"{""Agent"": ""P8031"", ""Time"":""P585"",""Place"":""P276"",""Victim"":""P8032"", ""Instrument"":""P520""}"
DIE,Q4,"{""Agent"": ""P8031"", ""Time"":""P585"",""Place"":""P276"",""Victim"":""P8032"", ""Instrument"":""P520""}"
TRANSPORT,Q7590,"{""Agent"": ""P137"", ""Time"":""P585"",""Place"":""P276"",""Artifact"":""P710"", ""Vehicle"":""P1876"", ""Destination"":""P1444"",""Origin"":""P1427""}"
TRANSFER-OWNERSHIP,Q601401,"{""Buyer"":""P710"",""Seller"":""P710"",""Place"":""P276"", ""Beneficiary"":""P710"",""Artifact"":""P710"", ""Time"":""P585""}"
TRANSFER-MONEY,Q601401,"{""Giver"":""P710"",""Recipient"":""P710"",""Money"":""P2130"",""Place"":""P276"", ""Beneficiary"":""P710"", ""Time"":""P585""}"
START-ORG,Q3075355,"{""Agent"": ""P710"",""Org"":""P7888"", ""Time"":""P585"",""Place"":""P276""}"
MERGE-ORG,Q17853087,"{""Org"":""P7888"", ""Time"":""P585"",""Place"":""P276""}"
DECLARE-BANKRUPTCY,Q152074,"{""Org"":""710"", ""Time"":""P585"",""Place"":""P276""}"
END-ORG,Q5282797,"{""Org"":""P710"", ""Time"":""P585"",""Place"":""P276""}"
ATTACK,Q180684,"{""Attacker"": ""P8031"",""Target"":""P533"", ""Time"":""P585"",""Place"":""P276"", ""Instrument"":""P520""}"
DEMONSTRATE,Q273120,"{""Entity"": ""P710"", ""Time"":""P585"",""Place"":""P276""}"
MEET,Q2761147,"{""Entity"": ""P710"", ""Time"":""P585"",""Place"":""P276""}"
PHONE-WRITE,Q133492,"{""Entity"": ""P710"", ""Time"":""P585""}"
@@START-POSITION,,
@@END-POSITION,,
NOMINATE,Q1156895,"{""Person"": ""P710"", ""Time"":""P585"",""Place"":""P276"", ""Agent"":""P4353"", ""Position"":""P39""}"
ELECT,Q40231,"{""Person"": ""P710"", ""Time"":""P585"",""Place"":""P276"", ""Entity"":""P1867"", ""Position"":""P39""}"
ARREST-JAIL,Q841236,"{""Person"": ""P710"", ""Agent"": ""P710"",""Time"":""P585"",""Place"":""P276"", ""Entity"":""P1867"", ""Crime"":""P1399""}"
@@RELEASE-PAROLE,,
TRIAL-HEARING,Q8016240,"{""Defendant"": ""P1591"", ""Prosecutor"": ""P1592"",""Time"":""P585"",""Place"":""P276"", ""Adjudicator"":""P1594"", ""Crime"":""P1399""}"
CHARGE-INDICT,Q329525,"{""Defendant"": ""P1591"", ""Prosecutor"": ""P1592"",""Time"":""P585"",""Place"":""P276"", ""Adjudicator"":""P1594"", ""Crime"":""P1399""}"
SUE,Q697327,"{""Defendant"": ""P1591"", ""Plaintiff"": ""P1620"",""Time"":""P585"",""Place"":""P276"", ""Adjudicator"":""P1594"", ""Crime"":""P1399""}"
CONVICT,Q2916183,"{""Defendant"": ""P1591"", ""Prosecutor"": ""P1592"",""Time"":""P585"",""Place"":""P276"", ""Crime"":""P1399""}"
SENTENCE,Q1763090,"{""Defendant"": ""P1591"", ""Prosecutor"": ""P1592"",""Time"":""P585"",""Place"":""P276"", ""Crime"":""P1399"", ""Sentence"":""P1596""}"
FINE,Q1243001,"{""Entity"": ""P1591"", ""Prosecutor"": ""P1592"",""Time"":""P585"",""Place"":""P276"", ""Crime"":""P1399"",""Money"":""P2130""}"
EXECUTE,Q8454,"{""Person"": ""P3342"", ""Agent"": ""P157"",""Time"":""P585"",""Place"":""P276"", ""Entity"":""P1867"", ""Crime"":""P1399""}"
EXTRADITE,Q210603,"{""Person"": ""P710"", ""Agent"": ""P710"",""Time"":""P585"",""Place"":""P276"", ""Entity"":""P1867"", ""Crime"":""P1399"", ""Destination"":""P1444""}"
@@ACQUIT,,
APPEAL,Q329777,"{""Defendant"": ""P1591"",""Time"":""P585"",""Place"":""P276"", ""Adjudicator"":""P1594"", ""Crime"":""P1399""}"
PARDON,Q537151,"{""Defendant"": ""P1591"", ""Prosecutor"": ""P1592"",""Time"":""P585"",""Place"":""P276"", ""Adjudicator"":""P1594"", ""Crime"":""P1399""}"