type,cnt
Q180684,70601
Q40231,60369
Q8016240,54621
Q2334719,54302
Q645883,21600
Q19692072,19442
Q1076105,19135
Q2618461,17235
Q2761147,16649
Q650711,15467
Q178561,15206
Q15966540,14814
Q7590,12054
Q625994,11093
Q190122,8048
Q1643989,8048
Q831772,8048
Q1368,8028
Q2020153,7556
Q152450,6835
Q178512,6670
Q693464,6238
Q41207,6091
Q171558,5771
Q15141321,5761
Q1174599,5175
Q11822042,5174
Q273120,4943
Q844482,4558
Q4,4426
Q1057954,4091
Q74948922,3986
Q149086,3985
Q91908084,3925
Q858439,3802
Q132821,3553
Q19902850,3291
Q744913,3216
Q15261477,2979
Q133492,2924
Q273976,2683
Q188055,2665
Q24333627,2531
Q175331,2344
Q17853087,2331
Q27556165,2210
Q17496410,2163
Q177626,2076
Q40444998,2038
Q43109,1964
Q350604,1924
Q601401,1902
Q96482904,1827
Q60442637,1779
Q750215,1755
Q8142,1714
Q15079663,1706
Q198,1701
Q16738832,1624
Q81672,1614
Q4354683,1588
Q3565868,1567
Q18812548,1556
Q811367,1528
Q2540467,1465
Q1078765,1397
Q15589476,1339
Q837556,1333
Q379693,1268
Q2072431,1235
Q7269307,1234
Q61927259,1234
Q7456126,1226
Q2223653,1222
Q15280243,1192
Q124734,1171
Q56316064,1126
Q898830,1082
Q5116010,1018
Q188447,1009
Q1939150,999
Q3199915,995
Q24397514,988
Q155930,987
Q657449,957
Q1757562,938
Q2672648,897
Q7897387,892
Q686984,884
Q5916,862
Q124757,845
Q2495862,803
Q891854,797
Q1166072,757
Q14946528,739
Q964162,734
Q10271409,678
Q126793,664
Q14006248,652
Q2001676,643
Q4931513,622
Q1261499,617
Q2310419,616
Q2133344,613
Q18984099,602
Q628191,597
Q49776,586
Q21484471,586
Q5421693,583
Q67454740,580
Q6508670,580
Q18043413,578
Q98374631,573
Q1156895,569
Q5264406,555
Q17195514,551
Q30634609,539
Q1072326,537
Q65152203,530
Q7864918,512
Q24097670,506
Q10737,492
Q294362,489
Q7835189,483
Q51404,469
Q831663,467
Q752783,458
Q3002150,453
Q5503,451
Q19930933,442
Q11890047,439
Q2288051,437
Q107274313,418
Q855973,418
Q4290,413
Q9687,410
Q14819852,409
Q217327,409
Q25671,401
Q111161,396
Q159979,390
Q669262,381
Q4201895,375
Q1255828,365
Q357104,361
Q18562917,361
Q76853179,358
Q7137437,346
Q221409,343
Q2380335,342
Q678146,338
Q1958056,328
Q15154951,328
Q7281,328
Q847301,325
Q107394355,322
Q17091170,321
Q7232773,319
Q179226,310
Q15145537,307
Q1148747,305
Q3951866,303
Q279283,300
Q902378,287
Q1412403,278
Q629257,278
Q18493502,277
Q26772977,276
Q5153967,275
Q50331459,275
Q1763090,266
Q1128324,256
Q4393809,255
Q476807,249
Q335918,248
Q8465,244
Q15078695,243
Q26001252,240
Q26466721,235
Q187916,234
Q11549517,234
Q2235325,230
Q26001248,226
Q17912683,226
Q1550225,224
Q109217482,216
Q104666804,216
Q2144320,215
Q21480300,212
Q47217,205
Q22342153,202
Q651270,202
Q10968259,201
Q3010369,199
Q10271631,198
Q188823,198
Q52721923,197
Q3722112,195
Q1257361,190
Q10836209,189
Q25917154,187
Q25906438,187
Q841236,185
Q133004,182
Q1129398,178
Q26001206,177
Q2352121,176
Q484847,172
Q766875,169
Q3586951,166
Q26001251,162
Q694752,162
Q2620513,162
Q318296,159
Q3586483,158
Q528892,158
Q13479982,158
Q1543677,156
Q60716473,156
Q1192191,153
Q1435575,152
Q631229,152
Q28783456,151
Q3117735,151
Q506572,151
Q3214425,150
Q60895708,149
Q1376777,147
Q1141795,147
Q11642595,147
Q3587332,146
Q47433,146
Q841418,144
Q15310171,144
Q25080094,143
Q10874184,143
Q16152241,142
Q7999562,141
Q4688003,141
Q515449,140
Q62090711,138
Q10931,137
Q2101619,137
Q20893947,136
Q834351,135
Q1268865,135
Q10551516,133
Q26013426,132
Q26013502,132
Q189656,132
Q26013333,132
Q26013475,132
Q26252880,131
Q7404395,130
Q44854,129
Q1022147,129
Q7618182,129
Q13634374,127
Q860641,126
Q25392373,126
Q159535,125
Q4494907,124
Q96251253,123
Q4071928,123
Q7832574,123
Q60589804,122
Q3587541,122
Q7085670,121
Q4940252,121
Q512399,120
Q7681174,120
Q3588250,120
Q370330,119
Q7353823,117
Q5919191,115
Q29102902,115
Q5001131,112
Q101086122,111
Q3882219,110
Q646754,110
Q54805501,109
Q1417098,109
Q18564543,107
Q697327,105
Q370607,105
Q906512,102
Q194189,102
Q216158,101
Q365680,101
Q467011,100
Q2717573,100
Q1679887,100
Q78187883,99
Q6936320,98
Q3586835,98
Q1477856,97
Q131288,97
Q41397,97
Q3586840,97
Q15707521,96
Q2993090,95
Q751892,95
Q1752350,94
Q26013452,93
Q1331380,93
Q19403959,93
Q1078001,93
Q193078,92
Q6130595,92
Q1863435,90
Q56220509,89
Q1139665,88
Q597260,87
Q486775,87
Q5381256,86
Q188686,85
Q220187,85
Q18201623,84
Q177923,84
Q16684585,84
Q109732621,83
Q56821289,82
Q56821073,82
Q26821406,81
Q1413715,79
Q49775,79
Q186431,78
Q1761818,78
Q22266255,77
Q2055296,76
Q617378,76
Q2138247,75
Q85811908,74
Q395976,73
Q548126,72
Q192623,71
Q464643,71
Q29530429,70
Q267995,70
Q11658044,70
Q1366745,69
Q738031,69
Q263233,68
Q8157,68
Q494497,68
Q5354906,67
Q184937,67
Q16964284,67
Q177716,67
Q693827,67
Q3068523,66
Q14859673,66
Q104549533,66
Q1742093,65
Q339180,64
Q212930,64
Q877353,64
Q22276038,64
Q12311825,63
Q110716513,62
Q17317594,62
Q997267,62
Q47566,61
Q2903538,61
Q8454,61
Q182103,61
Q105967897,61
Q3587148,61
Q786803,60
Q511866,60
Q1198521,60
Q876274,60
Q5791104,59
Q1364310,59
Q7311342,59
Q109413679,58
Q15283424,58
Q24714461,58
Q1311060,57
Q26001216,57
Q476078,57
Q145179,56
Q26252263,56
Q897797,55
Q3586831,55
Q22162827,54
Q1323212,54
Q1219394,54
Q22266624,53
Q22266709,53
Q61039291,52
Q1546073,52
Q1077012,52
Q56185179,51
Q22160401,51
Q13454063,51
Q51879476,51
Q11267645,50
Q48426334,50
Q16939528,50
Q1413045,50
Q697852,50
Q4117949,49
Q4343,49
Q1333366,49
Q1900755,48
Q1185865,48
Q36963,47
Q25343628,47
Q69405214,47
Q22284407,47
Q5354734,47
Q61964017,47
Q856568,46
Q19710423,46
Q68800046,46
Q6539177,46
Q28963415,46
Q64001169,46
Q2515494,46
Q11519624,46
Q108390245,46
Q95723,45
Q849095,45
Q61200261,45
Q194489,45
Q1064904,44
Q26001214,44
Q24406303,44
Q26260402,43
Q14820680,43
Q22160105,43
Q107343049,43
Q14083,43
Q3722420,43
Q25893885,42
Q6813020,42
Q5828421,42
Q54086790,42
Q3586948,42
Q26001215,42
Q1620824,42
Q22275982,42
Q21994376,41
Q2533468,41
Q832003,41
Q1482264,41
Q13427116,41
Q18711682,41
Q2055205,41
Q1155622,41
Q3586936,40
Q208041,40
Q106793561,40
Q92320983,39
Q2916183,39
Q92320908,39
Q1827102,39
Q92321112,39
Q92321117,39
Q107974527,38
Q4308,38
Q22276080,38
Q25917186,38
Q3586944,38
Q1194269,38
Q2112448,38
Q22696329,38
Q1156811,38
Q15631336,38
Q50877551,37
Q4321,37
Q42750320,37
Q215495,37
Q1124012,37
Q1760295,37
Q25448839,37
Q56298091,37
Q28649370,36
Q4861943,36
Q26001232,36
Q54856399,36
Q6516179,36
Q8027003,36
Q493016,36
Q25343631,36
Q75951701,36
Q14509381,35
Q1522225,35
Q24558942,35
Q191830,35
Q26206570,35
Q22280976,35
Q47516525,35
Q272281,35
Q22266583,34
Q16985745,34
Q11396408,34
Q56378186,34
Q22275938,34
Q92482719,33
Q92480586,33
Q2406205,33
Q63117399,33
Q22695893,33
Q92482708,33
Q1147337,33
Q92475919,33
Q14865154,33
Q2943071,33
Q92402259,33
Q92480584,33
Q209715,32
Q20180855,32
Q24410897,32
Q26001209,32
Q22695896,32
Q24713744,32
Q18248981,32
Q7834360,32
Q1348385,32
Q218010,32
Q24713572,32
Q2100614,32
Q26001210,32
Q28333164,32
Q2731728,32
Q8445,31
Q26001212,31
Q2116256,31
Q41521,31
Q22266213,31
Q944780,31
Q49845,31
Q85547059,31
Q3586928,31
Q59633182,31
Q646740,30
Q2527950,30
Q15078648,30
Q16973098,30
Q467033,30
Q187776,30
Q890055,30
Q763256,30
Q205585,29
Q7558104,29
Q15747939,29
Q1929372,29
Q24714393,29
Q3587397,29
Q1074121,29
Q24618255,28
Q99659193,28
Q7833114,28
Q19841484,28
Q6518201,28
Q3586952,28
Q2763,28
Q1570656,28
Q4228029,28
Q331814,28
Q22268901,28
Q7888355,28
Q20639925,27
Q22269206,27
Q92482728,27
Q106691665,27
Q28966115,27
Q17317625,27
Q92480588,27
Q7157512,27
Q1061648,27
Q1083662,27
Q56583453,27
Q643292,27
Q2920604,27
Q8294850,27
Q25343622,27
Q3307578,27
Q54643580,27
Q1504429,27
Q716176,27
Q216169,27
Q2478315,27
Q50378760,27
Q3882220,27
Q52362967,27
Q3966286,26
Q2439355,26
Q4390543,26
Q22338592,26
Q88178910,26
Q26001221,26
Q59108305,26
Q2334804,26
Q146071,26
Q22333900,26
Q231455,26
Q244696,26
Q747699,25
Q26001234,25
Q22980727,25
Q11267647,25
Q952064,25
Q4289143,25
Q633954,25
Q24713040,25
Q24659965,25
Q1403016,25
Q154278,25
Q1006311,25
Q2993180,25
Q110886488,25
Q8030526,25
Q480498,24
Q26001211,24
Q44481679,24
Q1188852,24
Q18287076,24
Q1006573,24
Q26001229,24
Q926331,23
Q832435,23
Q25289192,23
Q14373,23
Q26001222,23
Q24177311,23
Q18285098,23
Q22696407,23
Q24181434,23
Q20081142,23
Q22669535,23
Q14523556,23
Q153564,22
Q22281036,22
Q24713353,22
Q267298,22
Q26001217,22
Q26001231,22
Q2415599,22
Q26001233,22
Q537151,22
Q43060,22
Q22276264,22
Q9305214,22
Q109860353,22
Q114953,21
Q15908445,21
Q47484406,21
Q1007356,21
Q680838,21
Q24566658,21
Q22669642,21
Q25467156,21
Q10638581,21
Q2558569,21
Q25343648,21
Q22703240,21
Q5643,21
Q93190,21
Q12068123,21
Q24706075,21
Q994741,21
Q506259,21
Q22330922,21
Q5518656,21
Q106093190,21
Q25548021,21
Q5518574,21
Q183482,20
Q24660195,20
Q25534775,20
Q8572111,20
Q1499496,20
Q56296559,20
Q16969721,20
Q22704005,20
Q25532438,20
Q22338585,20
Q64796768,20
Q12778795,20
Q8010,20
Q187997,20
Q11547135,20
Q109502248,19
Q752673,19
Q2783852,19
Q896995,19
Q22695905,19
Q361047,19
Q24576690,19
Q42303986,19
Q5019056,19
Q7057066,19
Q11650194,19
Q24715318,19
Q5176895,19
Q191503,19
Q97016907,19
Q12323704,19
Q483279,19
Q90285444,19
Q4676786,19
Q54097983,19
Q1449918,19
Q22703997,19
Q361909,19
Q14905514,19
Q92482736,18
Q30880545,18
Q15334281,18
Q7417064,18
Q26001213,18
Q24713657,18
Q42406391,18
Q7251589,18
Q25367968,18
Q25363518,18
Q375102,18
Q25548020,18
Q92480589,18
Q24332812,18
Q7963798,18
Q25548647,18
Q22276331,18
Q5456252,18
Q7593363,18
Q54445847,18
Q22283753,18
Q25343650,18
Q814491,18
Q100580950,18
Q178843,18
Q2912528,18
Q651476,18
Q30178840,18
Q25363097,17
Q98381912,17
Q3587147,17
Q25449075,17
Q26001228,17
Q610038,17
Q1260046,17
Q61605094,17
Q1403377,17
Q22696377,17
Q26805735,17
Q24718981,17
Q22341286,17
Q22669585,17
Q329525,17
Q24714562,17
Q1447463,17
Q11396401,17
Q98144562,17
Q7185370,17
Q11220294,17
Q20739115,17
Q14516417,16
Q28934204,16
Q1472255,16
Q24178659,16
Q22703992,16
Q5645760,16
Q24715089,16
Q22669606,16
Q6423494,16
Q105611,16
Q22160112,16
Q2192508,16
Q10846717,16
Q24715171,16
Q24180344,16
Q25530138,16
Q780417,16
Q25343327,16
Q2141830,16
Q1054782,16
Q728265,16
Q2140646,16
Q7829682,15
Q5300066,15
Q1189842,15
Q3587386,15
Q1814351,15
Q6073630,15
Q4861618,15
Q16993367,15
Q15231127,15
Q4973708,15
Q17094485,15
Q2996078,15
Q25477438,15
Q7568703,15
Q98381855,15
Q1562095,15
Q3586860,15
Q5025826,15
Q6481463,15
Q5456254,15
Q16998864,15
Q11287,15
Q6391510,15
Q5377332,15
Q6084407,15
Q5657629,15
Q5683838,15
Q3081320,15
Q499814,15
Q5189716,15
Q3305019,15
Q16995693,15
Q22275878,15
Q5021202,15
Q6537337,15
Q4861057,15
Q7446128,15
Q18620277,15
Q4961598,15
Q7966607,15
Q6820741,15
Q7967318,15
Q1384277,15
Q11079230,15
Q7571176,15
Q25534840,15
Q5527173,15
Q15146717,15
Q1570153,15
Q7995739,15
Q22696383,15
Q22696274,14
Q104776655,14
Q24567296,14
Q24176345,14
Q14865157,14
Q251741,14
Q22695898,14
Q5637384,14
Q160598,14
Q26913948,14
Q177253,14
Q1433891,14
Q651658,14
Q25546358,14
Q22342211,14
Q60676589,14
Q7331066,14
Q48970589,14
Q7048891,14
Q22343980,14
Q184940,14
Q42486,14
Q19845322,14
Q7305510,14
Q220695,14
Q106690408,14
Q318702,14
Q22342927,14
Q22669601,13
Q5666613,13
Q22669632,13
Q5913321,13
Q2139567,13
Q22276119,13
Q22283539,13
Q4899805,13
Q22341433,13
Q514989,13
Q18575573,13
Q911924,13
Q15273379,13
Q3075355,13
Q557728,13
Q5763312,13
Q24718627,13
Q43325366,13
Q7989235,13
Q7918434,13
Q21106447,13
Q22341275,13
Q22669381,13
Q47069668,13
Q7650353,13
Q22276316,13
Q22669531,13
Q9158,13
Q22341330,13
Q2902809,13
Q23007305,13
Q7078911,13
Q80895,13
Q977367,13
Q21100839,13
Q11931634,13
Q5325494,13
Q28333430,13
Q328376,13
Q51159758,13
Q22342957,13
Q7989796,13
Q118322,13
Q21540023,13
Q6501319,13
Q1365703,13
Q15334263,12
Q22276298,12
Q918448,12
Q2938159,12
Q52348036,12
Q17005145,12
Q24182685,12
Q17276616,12
Q5124698,12
Q3587589,12
Q11487748,12
Q1067715,12
Q24529773,12
Q2243695,12
Q22704041,12
Q379605,12
Q106690375,12
Q16361747,12
Q818545,12
Q4281830,12
Q3518201,12
Q22696370,12
Q106978510,12
Q81859300,12
Q22276186,12
Q3586838,12
Q3305194,12
Q22330752,12
Q17056702,12
Q1760704,12
Q22669525,12
Q5782934,12
Q10271606,12
Q22266214,12
Q22669513,12
Q24176296,12
Q22442768,12
Q25467527,12
Q24179666,12
Q15788,12
Q25369324,12
Q7061379,12
Q65962109,12
Q8774346,12
Q11918772,12
Q22696400,11
Q22442774,11
Q1144784,11
Q582956,11
Q22342918,11
Q30572165,11
Q22343924,11
Q715695,11
Q14872727,11
Q293849,11
Q14920473,11
Q24568879,11
Q22669528,11
Q1156016,11
Q22669521,11
Q25546854,11
Q1093833,11
Q1897017,11
Q22669611,11
Q109622963,11
Q572664,11
Q459555,11
Q22269349,11
Q106171319,11
Q1342425,11
Q42681239,11
Q22669625,11
Q24178042,11
Q3070242,11
Q5827551,11
Q22696395,11
Q37942728,11
Q10271596,11
Q25448932,11
Q72850604,11
Q1196663,11
Q10567262,11
Q6541336,11
Q23058942,11
Q25343621,11
Q947859,11
Q22333190,10
Q22669603,10
Q98741945,10
Q32680449,10
Q106484373,10
Q15931405,10
Q2393012,10
Q4128600,10
Q5312035,10
Q24183035,10
Q5115542,10
Q22669582,10
Q848960,10
Q22341320,10
Q11453,10
Q11499052,10
Q13012970,10
Q5601809,10
Q22333025,10
Q22342312,10
Q17014215,10
Q25369215,10
Q6348103,10
Q3587380,10
Q7579940,10
Q6415764,10
Q61952495,10
Q22330909,10
Q41708957,10
Q2908804,10
Q22330839,10
Q22276155,10
Q22160120,10
Q85547214,10
Q22269333,10
Q5894489,10
Q29054285,10
Q6980735,10
Q22341315,10
Q7544035,10
Q1725370,10
Q5827491,10
Q837999,10
Q23688115,10
Q5827419,10
Q25367878,9
Q745316,9
Q692412,9
Q2447975,9
Q1963768,9
Q19801853,9
Q7370451,9
Q1781367,9
Q22669480,9
Q791974,9
Q22669594,9
Q22276208,9
Q65085460,9
Q88869722,9
Q452440,9
Q24712693,9
Q71989553,9
Q22276008,9
Q97368680,9
Q14957210,9
Q97595211,9
Q574456,9
Q109733629,9
Q54882043,9
Q845477,9
Q379738,9
Q74570489,9
Q104705174,9
Q97487177,9
Q22669621,9
Q916412,9
Q110550201,9
Q488526,8
Q811891,8
Q106691645,8
Q2839017,8
Q22160593,8
Q28406203,8
Q22696414,8
Q22276226,8
Q94606984,8
Q27406,8
Q3586559,8
Q22669591,8
Q464122,8
Q1458216,8
Q7307171,8
Q5465517,8
Q25455090,8
Q22669526,8
Q25343642,8
Q22669547,8
Q94466676,8
Q5400895,8
Q3119160,8
Q24452127,8
Q896903,8
Q2551228,8
Q94449970,8
Q93557741,8
Q31836586,8
Q915196,8
Q185943,8
Q1198478,8
Q119094,8
Q12778811,8
Q40692185,8
Q25438796,8
Q8960966,8
Q23498202,8
Q1135604,8
Q5420038,8
Q383187,8
Q97358680,8
Q28455120,8
Q20102321,8
Q4533514,8
Q1747184,8
Q109936365,8
Q22333685,8
Q10932402,8
Q187510,8
Q3107744,8
Q467938,8
Q122119,8
Q14860824,8
Q22669618,8
Q22333339,8
Q41222493,8
Q5295526,8
Q22342947,8
Q14626453,8
Q20986437,8
Q326259,8
Q207842,8
Q39049892,8
Q11481825,8
Q1339582,7
Q886568,7
Q12406392,7
Q42378719,7
Q45386330,7
Q61037771,7
Q14905129,7
Q204933,7
Q94609398,7
Q94456180,7
Q5523292,7
Q94553400,7
