ACE Class,WIkidata Class
BE-BORN,Q14819852
MARRY,Q8445
DIVORCE,Q93190
INJURE,"Q1174599
Q193078
Q171558"
DIE,"Q4
Q171558
Q844482
Q645883"
TRANSPORT,"Q7590
Q177626"
TRANSFER-OWNERSHIP,"Q731112
Q1416898
Q601401
Q315364
Q601401"
TRANSFER-MONEY,"Q13377609
Q601401"
START-ORG,Q3075355
MERGE-ORG,Q17853087
DECLARE-BANKRUPTCY,Q152074
END-ORG,Q5282797
ATTACK,"Q650711
Q844482
Q645883
Q180684"
DEMONSTRATE,"Q175331
Q273120"
MEET,Q2761147
PHONE-WRITE,"Q2296401
Q133492"
@@START-POSITION,Q102252225
@@END-POSITION,Q685744
NOMINATE,Q1156895
ELECT,Q40231
ARREST-JAIL,"Q841236
Q1403016"
@@RELEASE-PAROLE,Q3237993
TRIAL-HEARING,"Q545861
Q8016240"
CHARGE-INDICT,"Q329525
Q17310301"
SUE,Q697327
CONVICT,Q2916183
SENTENCE,Q1763090
FINE,Q1243001
EXECUTE,"Q8454
Q3966286"
EXTRADITE,Q210603
@@ACQUIT,Q1454723
APPEAL,Q329777
PARDON,Q537151